Rank,Name,Playcount
1,As I Lay Dying,2055
2,Caliban,1955
3,Sabaton,1874
4,Architects,1782
5,Rammstein,1678
6,Sybreed,1665
7,Amon Amarth,1577
8,The Algorithm,1555
9,Bring Me the Horizon,1504
10,System of a Down,1504
11,August Burns Red,1307
12,Trivium,1250
13,Enter Shikari,1243
14,TesseracT,1232
15,Deftones,1207
16,Red,1171
17,God Is an Astronaut,1041
18,Katatonia,1024
19,Cradle of Filth,996
20,Dimmu Borgir,994
21,After the Burial,987
22,In Flames,958
23,Naïve,902
24,Machinae Supremacy,883
25,Dead by April,851
26,Septicflesh,849
27,Norma Jean,803
28,Avatar,774
29,Король и Шут,743
30,Arch Enemy,713
31,Bullet for My Valentine,711
32,Avenged Sevenfold,697
33,The Dillinger Escape Plan,696
34,Five Finger Death Punch,670
35,Disturbed,668
36,Serj Tankian,666
37,AliCirno,655
38,Nightwish,623
39,Underoath,621
40,Slipknot,605
41,Devil Sold His Soul,604
42,Animals as Leaders,565
43,Pain,565
44,Fear Factory,554
45,Meshuggah,549
46,鬱P,546
47,Crystal Castles,518
48,Shadow of Intent,513
49,Static-X,510
50,All That Remains,497
51,Apocalyptica,487
52,Emmure,468
53,Oh, Sleeper,468
54,The Luna Sequence,460
55,Bondage Fairies,459
56,Yellowcard,457
57,Adept,449
58,Mastodon,445
59,Aliチルノ,420
60,Children of Bodom,418
61,Insomnium,414
62,We Came as Romans,407
63,Amaranthe,406
64,Scar Symmetry,405
65,Betraying the Martyrs,404
66,Killswitch Engage,404
67,Veil of Maya,384
68,Heart of a Coward,383
69,65daysofstatic,372
70,Dark Tranquillity,367
71,Rise Against,361
72,無力P,357
73,Breaking Benjamin,351
74,Converge,347
75,Sonic Syndicate,347
76,Sum 41,347
77,iwrestledabearonce,345
78,Breakdown of Sanity,340
79,Lindemann,337
80,Powerwolf,314
81,The Devil Wears Prada,310
82,Skillet,306
83,Muse,302
84,Within Temptation,297
85,Evanescence,295
86,Asking Alexandria,289
87,Hypno5e,283
88,Winds of Plague,282
89,Vildhjarta,274
90,The Interbeing,267
91,Breach The Void,266
92,Seether,264
93,Cedron,262
94,Crown the Empire,262
95,Periphery,262
96,Suicide Silence,261
97,Protest the Hero,257
98,ПНЕВМОСЛОН,256
99,Hopes Die Last,254
100,Three Days Grace,253
101,Black Veil Brides,252
102,Perturbator,249
103,Mechina,243
104,Fleshgod Apocalypse,230
105,Rotting Christ,227
106,Atreyu,225
107,Parkway Drive,221
108,Miss May I,215
109,Orbit Culture,215
110,All Shall Perish,214
111,Silverstein,214
112,Neurotech,207
113,Heroin and Your Veins,206
114,Swallow the Sun,204
115,Draconian,202
116,Kitcaliber,202
117,Behemoth,193
118,Little Big,192
119,Eyes Set to Kill,188
120,Nickelback,187
121,The Ghost Inside,187
122,Tarja,186
123,In This Moment,181
124,The Contortionist,179
125,Godsmack,176
126,Stone Sour,176
127,Textures,171
128,Shadow Domain,167
129,*shels,165
130,Metallica,162
131,Faunts,160
132,Pendulum,157
133,Bohren & der Club of Gore,156
134,Escape The Fate,153
135,Michael McCann,153
136,Between the Buried and Me,149
137,Turisas,148
138,Clint Mansell,147
139,Lacuna Coil,146
140,Eumeria,144
141,Rob Zombie,142
142,Emika,141
143,This Misery Garden,141
144,Attack Attack!,138
145,The Agonist,138
146,Chelsea Grin,136
147,Blessthefall,135
148,Volumes,134
149,Saturnus,132
150,His Statue Falls,130
151,Noidz,129
152,Radiohead,128
153,Io,127
154,Turmion Kätilöt,126
155,Harakiri for the Sky,125
156,Lindsey Stirling,125
157,Uneven Structure,123
158,My Own Private Alaska,122
159,Guano Apes,121
160,Anthesteria,119
161,Astral Display,118
162,The Unguided,118
163,Neverlove,116
164,Scars on Broadway,116
165,Steamforged,116
166,Born of Osiris,114
167,The Offspring,113
168,Dance With the Dead,110
169,Tracktor Bowling,108
170,V/Y,106
171,Abandon All Ships,103
172,Malrun,103
173,Chelsea Wolfe,100
174,妖精帝國,98
175,Kamelot,97
176,Jeremy Soule,93
177,Marilyn Manson,90
178,Bury Tomorrow,89
179,Pryapisme,89
180,30 Seconds to Mars,87
181,The Browning,87
182,3 Doors Down,83
183,Slumber,81
184,I, The Breather,76
185,Monuments,76
186,A Call to Sincerity,74
187,Antonio Vivaldi,72
188,Виктор Аргонов Project,72
189,The Prodigy,70
190,Boucle Infinie,68
191,DIR EN GREY,67
192,Combichrist,65
193,Batushka,64
194,Daron Malakian and Scars on Broadway,61
195,Mudvayne,61
196,Steak Number Eight,59
197,Helia,57
198,Wayne Static,57
199,Linkin Park,55
200,Slaughter to Prevail,55
201,水樹奈々,54
202,Grown Below,53
203,Rinoa,53
204,Psychonaut 4,51
205,Skyharbor,51
206,Alcest,49
207,Chaostar,49
208,Sleep Token,48
209,秋赤音,48
210,Atrium Carceri,47
211,Renard,47
212,Сергей Шнуров,47
213,Неизвестен,45
214,Eskimo Callboy,44
215,Poppy,44
216,Severny Flot,44
217,Enshine,43
218,The Birthday Massacre,42
219,ПОШЛАЯ МОЛЛИ,42
220,Jakel,41
221,Celldweller,40
222,Equilibrium,40
223,Hacktivist,40
224,Lorna Shore,40
225,Change of Loyalty,39
226,Paul Romero & Rob King,39
227,Poets of the Fall,39
228,Trees of Eternity,39
229,Audioslave,38
230,Daylight Dies,38
231,Hatsune Miku,38
232,Lumen,38
233,t.A.T.u.,38
234,Wovenwar,38
235,Currents,36
236,Device,36
237,Igorrr,36
238,Structures,36
239,Hans Zimmer,35
240,The Mire,35
241,Lamb of God,34
242,Soilwork,34
243,The Rasmus,34
244,X-Fusion,34
245,John Powell,33
246,Сергей Чонишвили,33
247,Billy Talent,32
248,Bleed from Within,32
249,Maximum the Hormone,32
250,Spiritbox,32
251,Wolfheart,32
252,Door Closed On Door,31
253,Pantera,31
254,Sandra Nasic,31
255,A Perfect Circle,30
256,D-Mode-D,30
257,Heaven Shall Burn,30
258,MONORAL,30
259,Our Last Night,30
260,Supercell,30
261,La Dispute,29
262,Motionless in White,29
263,Psygnosis,29
264,Gojira,28
265,Mick Gordon,28
266,Нейромонах Феофан,28
267,Anaal Nathrakh,27
268,Carpenter Brut,27
269,Fallujah,27
270,Lia,27
271,Omnium Gatherum,27
272,Be'lakor,26
273,Dark the Suns,26
274,Ice Nine Kills,26
275,Amatory,25
276,Lacrimas Profundere,25
277,Molchat Doma,25
278,Nervous_testpilot,25
279,Nightmare,25
280,Olivier Deriviere,25
281,Öxxö Xööx,25
282,Remi Gallego,25
283,Mors Principium Est,24
284,No Sign Of Life,24
285,Opeth,24
286,Woods of Ypres,24
287,Филипп Киркоров,24
288,Archive,23
289,Exiled From Light,23
290,Ghost Brigade,23
291,Leprous,23
292,Lunatica,23
293,Saosin,23
294,Spylacopa,23
295,Summoning,23
296,Annisokay,22
297,I Prevail,22
298,Pornofilmy,22
299,Sylvaine,22
300,Tardigrade Inferno,22
301,abingdon boys school,21
302,Belphegor,21
303,Houkago Tea Time,21
304,Ochre,21
305,Sky Sanctuary,21
306,Порнофильмы,21
307,Dagoba,20
308,I Will Never Be The Same,20
309,Nirvana,20
310,Old Man's Child,20
311,Satoru Kousaki,20
312,Zetsubou P,20
313,Eluveitie,19
314,Mac Quayle,19
315,MASTER BOOT RECORD,19
316,Mono,19
317,Paradise Lost,19
318,Сплин,19
319,Antimatter,18
320,Being as an Ocean,18
321,Eisbrecher,18
322,Flow,18
323,Forest of Shadows,18
324,Glass Animals,18
325,Hirano Aya,18
326,Jason Hayes,18
327,Kichi,18
328,Michael McCann, Sascha Dikiciyan, Ed Harrison,18
329,Northlane,18
330,Polaris,18
331,Russell Brower,18
332,Би-2,18
333,Amorphis,17
334,Beast in Black,17
335,Men I Trust,17
336,Neal Acree,17
337,Philipp Kirkorov,17
338,Stereopony,17
339,Týr,17
340,Cavetown,16
341,Dethklok,16
342,Hypocrisy,16
343,Long Distance Calling,16
344,Of Mice & Men,16
345,Rival Consoles,16
346,榊原ゆい,16
347,鷺巣詩郎,16
348,Alestorm,15
349,Bad Omens,15
350,Miatriss,15
351,Tamura Yukari & Kanai Mika & Horie Yui,15
352,The Plot in You,15
353,Ваганыч,15
354,桜高軽音部,15
355,As Ember,14
356,Crosses,14
357,Isis,14
358,Korpiklaani,14
359,Lusine,14
360,Memphis May Fire,14
361,Peeps,14
362,twenty one pilots,14
363,Ulver,14
364,ЖЩ,14
365,ファンタズム(FES cv.榊原ゆい),14
366,田村ゆかり,14
367,36,13
368,Anime,13
369,Bloodred Hourglass,13
370,Decapitated,13
371,DragonForce,13
372,Ghinzu,13
373,Korn,13
374,Rafael Anton Irisarri,13
375,Royal Blood,13
376,The Black Dahlia Murder,13
377,いとうかなこ,13
378,ALI PROJECT,12
379,Aliチルノ x ネズミ,12
380,chloe moriondo,12
381,Elisa,12
382,John Williams,12
383,Kmac2021,12
384,Mindless Self Indulgence,12
385,Night Club,12
386,Obsydians,12
387,Oingo Boingo,12
388,SAITOU Chiwa,12
389,Seryoga,12
390,Suno The Maid,12
391,TENMON & Eiichiro Yanagi,12
392,This Will Destroy You,12
393,While She Sleeps,12
394,Wildways,12
395,ももいろクローバー,12
396,Aoi Tada,11
397,ClariS,11
398,Concrete,11
399,Days of Our Life,11
400,Dope,11
